review_id,product_id,product_name,source_platform,source_actor,scraped_at,likes,dislikes,recommendations,use_case,overall_rating,ease_of_use,support_rating,value_rating,likely_to_recommend,reviewer_name,reviewer_title,reviewer_company_size,reviewer_industry,reviewer_location,time_using_product,review_date,is_verified,is_incentivized,product_overall_rating,product_review_count,extraction_confidence,bonus_data,bonus_data
12717758,XRO-ACC-001,Xero,g2,jupri,2026-05-10T09:56:02.599928+00:00,"I find Xero easy to use and customizable, making it a one-stop shop for my needs. I appreciate that it keeps everything in one place, serving as a single source of truth that captures income and expenditure correctly. It's capable of producing essential reports and handling returns like BAS, Tax, EOFY along with various health reports for multiple companies and currencies. I love that it captures data in real time and allows multiple users to access it from anywhere in the world. The payroll features are quick and easy to use, it links to the ATO and Super payments, and is compliant and secure. I enjoy how Xero integrates well with other systems and can export and manipulate data effectively. It's a great accounting and payroll package.","There are a few clunky bits, especially with payroll and how it calculates wages, plus some reports/analysis we used to have in EH we don't have in Xero. Also, it's data/transaction limited and we reached the quota, so to speak, and the whole system slowed down.",,"Xero keeps everything in one place, serving as a single source of truth for income, expenditure, and reporting. It's quick and secure, allowing multiple users access anywhere globally. It integrates with other systems, simplifies forecasting, and makes payroll management quick and easy. Effortless Accounting, Minor",4.5,,,,,Abi N.,Administrator,mid-market,Information Technology and Services,Australia,,2026-05-07T07:37:54.726-05:00,,,,,1.0,"{""submitted"": ""2026-04-29T19:45:34.472-05:00"", ""type"": ""organic"", ""region"": ""ANZ"", ""updated"": ""2026-05-01T20:32:47.735-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12717758"", ""title"": ""Payroll Hiccups"", ""helpful"": 0, ""primary"": ""Asia Pacific"", ""switched_from"": {""products"": null, ""reason"": null}}","{""submitted"": ""2026-04-29T19:45:34.472-05:00"", ""type"": ""organic"", ""region"": ""ANZ"", ""updated"": ""2026-05-01T20:32:47.735-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12717758"", ""title"": ""Payroll Hiccups"", ""helpful"": 0, ""primary"": ""Asia Pacific"", ""switched_from"": {""products"": null, ""reason"": null}}"
12603823,XRO-ACC-001,Xero,g2,jupri,2026-05-10T09:56:02.599928+00:00,"I use Xero for my small business accounting and it's the only software I have, which does the job well without any functionality complaints. I find it easy to use even as an amateur, which is important since I don't hire an accountant and handle everything myself. Xero's features are good at showing the financial situation and entering records, and I particularly like the reconciliation UI. The initial setup was easy, and although I had to learn some accounting concepts, Xero helped me understand better through real examples. I also appreciate that it connects with my payroll service, Wagepoint. The performance is reliable. I think the pricing is reasonable. I think the AI integration is limited at this point.",bank account sync doesn't include Wealthsimple,,"I use Xero for my small business accounting. It's the only software I have, and it works well without complaints. It's easy to use, even for an amateur like me. I like Xero's reconciliation UI and its ability to show the situation through entry of records. Perfect for Solo",5.0,,,,,Koji T.,User,small-business,Information Technology and Services,Canada,,2026-05-06T01:48:59.252-05:00,,,,,1.0,"{""submitted"": ""2026-04-08T14:26:07.199-05:00"", ""type"": ""vendor_self"", ""region"": ""North America"", ""updated"": ""2026-05-01T11:33:07.243-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12603823"", ""title"": ""Entrepreneurs"", ""primary"": ""Americas""}","{""submitted"": ""2026-04-08T14:26:07.199-05:00"", ""type"": ""vendor_self"", ""region"": ""North America"", ""updated"": ""2026-05-01T11:33:07.243-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12603823"", ""title"": ""Entrepreneurs"", ""primary"": ""Americas""}"
12731745,XRO-ACC-001,Xero,g2,jupri,2026-05-10T09:56:02.599928+00:00,"The most important thing for me is ease of use, especially when it comes to the app and desktop interface. Xero has a format that’s very pleasant to navigate, with good colour contrast.","Moderately confusing is the ability to refer a friend for commission rewards. I opted in to this, yet it isn't a fixed to my Xero account, thus I had to create two separate accounts. Moreover, the scheme seems to be available through external providers such as 'Partnerstack' too, which complicates the service further.",,"Accountancy tools should be simple to use. The drive should be to make a likely mundane task for most seem less daunting. I don't think a multitude of features drives the market. One could use fintech invest apps for comparison. The target audience is the average member of the public which is where sps like QuickBooks which I used briefly some tears ago, fail. Their interface is too much geared towards the professional sphere which is off putting for consumers such as myself. If it seems too complex I'm not incentivised to undertake tasks and will look elsewhere for an alternative, hence Xero. Pleasant, Easy-to-Navigate Interface with Great",4.0,,,,,Jonathon D.,User,small-business,Higher Education,United Kingdom,,2026-05-02T19:16:11.055-05:00,,,,,1.0,"{""submitted"": ""2026-05-01T10:32:20.766-05:00"", ""type"": ""vendor_self"", ""region"": ""Europe"", ""updated"": ""2026-05-01T10:32:20.801-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12731745"", ""title"": ""Colour Contrast"", ""primary"": ""EMEA""}","{""submitted"": ""2026-05-01T10:32:20.766-05:00"", ""type"": ""vendor_self"", ""region"": ""Europe"", ""updated"": ""2026-05-01T10:32:20.801-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12731745"", ""title"": ""Colour Contrast"", ""primary"": ""EMEA""}"
12726191,XRO-ACC-001,Xero,g2,jupri,2026-05-10T09:56:02.599928+00:00,"It makes reconciling easy and makes for beautifully professional invoices. It does separate from the bank feed regularly, and no one seems to know how to fix this. Support is generally pretty helpful besides this issue. The AI bot hasn't been that helpful as it keeps repeating the same answers. The pricing is competitive but it used to be really affordable. This made it easier to take when the feed brakes and the glitches come up from our tax code not being in the software.","I included all in the last part but the bank feed regularly separates and no one knows how to fix this. I have to keep playing with it until it rejoins. Also, there are a few glitches that come from our tax information not being in the system, such as when I refunded a customer's delivery fee and it is still trying to refund tax associated with the fee, when there is none.",,"I am not a heavy user of Xero. We just use it for simple reconciliation, invoices here and there and checking P&L, comparing months, etc. We don't use it for any complex purposes. Maybe tiers for people like me might be a good option? Great Invoicing and Reconciliation, but Bank Feed Disconnects and Tax",3.5,,,,,Alys M.,Administrator,small-business,Retail,United States,,2026-04-30T22:05:01.063-05:00,,,,,1.0,"{""submitted"": ""2026-04-30T16:37:48.119-05:00"", ""type"": ""vendor_self"", ""region"": ""North America"", ""updated"": ""2026-04-30T16:37:48.339-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12726191"", ""title"": ""Glitches Persist"", ""primary"": ""Americas""}","{""submitted"": ""2026-04-30T16:37:48.119-05:00"", ""type"": ""vendor_self"", ""region"": ""North America"", ""updated"": ""2026-04-30T16:37:48.339-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12726191"", ""title"": ""Glitches Persist"", ""primary"": ""Americas""}"
12701255,XRO-ACC-001,Xero,g2,jupri,2026-05-10T09:56:02.599928+00:00,"I use Xero for accounting in my business, and it really helps me with invoicing, collecting payments, tracking costs, running payroll, and submitting my VAT and Annual returns. It just works and is very simple, helping me get things right. It's also widely used, so others know how it works. This is hugely valuable to me because mistakes can cost a lot in fines and scrutiny, and as a non-accountant, it's great to learn from it. The initial setup was very simple, and I loved that part. It was very quick to get started. The platform integrates with a large number of providers which is great and its well priced for a small business, considering how much you get and there is a lot included in the base packages. Ai support is also useful and overall performs well when we need it.","Sometimes when I want to edit something from the past, it can be a little annoying. Also, payments against expenses could be smoother as a process. I think this could be handled in a single step, rather than having to recognize the expense, then make the payment - it just feels like there's a lot going on. It could be really simple.",,"Xero enables me to invoice, collect payments, keep track of costs, run payroll, and submit VAT and Annual returns. It's simple to use and helps avoid costly mistakes. It's so good to be able to feel confident in our numbers and know we have plenty of detail if we are ever asked. Effortless Accounting, Perfect for",5.0,,,,,Will M.,User,mid-market,Information Technology and Services,United Kingdom,,2026-04-29T09:22:23.540-05:00,,,,,1.0,"{""submitted"": ""2026-04-28T08:54:50.150-05:00"", ""type"": ""g2_incentivized"", ""region"": ""Europe"", ""updated"": ""2026-04-29T04:14:06.306-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12701255"", ""title"": ""Non-Accountants"", ""primary"": ""EMEA""}","{""submitted"": ""2026-04-28T08:54:50.150-05:00"", ""type"": ""g2_incentivized"", ""region"": ""Europe"", ""updated"": ""2026-04-29T04:14:06.306-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12701255"", ""title"": ""Non-Accountants"", ""primary"": ""EMEA""}"
12647124,XRO-ACC-001,Xero,g2,jupri,2026-05-10T09:56:02.599928+00:00,"I find Xero to be an incredibly easy choice for managing my consulting business, thanks to its ease of use and effective yet lightweight functionality. The pricing, especially with their recent promo, made it much more affordable than alternatives like QuickBooks. I love how it simplifies reconciling transactions by allowing me to easily connect my business bank account and reconcile weekly. The user-friendly interface makes designating expenses as billable super easy, which is invaluable as a consultant. The recently overhauled dashboard provides a great snapshot of outstanding items and financial performance, which I really enjoy. Not having to pay for an extra seat to share data directly with my CPA is super helpful. I also appreciate that onboarding was guided with helpful emails and resources, even though I didn't need them due to my prior familiarity with Xero.","I wish that Xero had more beautiful charts. I love a Sankey diagram, and it would be nice to see the cash flow in and cash flow out in an elegant chart. While it's pretty easy to label expenses or transactions as a billable expense, it takes several extra clicks that I wish it didn't require. Sometimes it's just not intuitive to me, maybe because I'm not an accountant or daily user of the software.",,"I use Xero for my single shingle consulting business. It simplifies reconciling transactions and makes billing clients a breeze inlcuding incurred costs. The recently overhauled dashboard provides a financial snapshot at a glance, and I can invite my CPA without extra charges, saving time and effort. Efficient and User-Friendly, Perfect for Small",5.0,,,,,Lauren F.,Administrator,small-business,,United States,,2026-04-30T06:08:30.491-05:00,,,,,1.0,"{""submitted"": ""2026-04-17T11:24:27.794-05:00"", ""type"": ""vendor_self"", ""region"": ""North America"", ""updated"": ""2026-04-28T12:56:01.609-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12647124"", ""title"": ""Consultants"", ""primary"": ""Americas""}","{""submitted"": ""2026-04-17T11:24:27.794-05:00"", ""type"": ""vendor_self"", ""region"": ""North America"", ""updated"": ""2026-04-28T12:56:01.609-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12647124"", ""title"": ""Consultants"", ""primary"": ""Americas""}"
10540720,XRO-ACC-001,Xero,g2,jupri,2026-05-10T09:56:02.599928+00:00,"I really like Xero's clean look and simplified navigation. It's great being able to drill down into almost any number and quickly find out what's behind it. This is really handy for accessing information fast when working across multiple clients. It's also very intuitive and seamless, making it easy to understand and assuring me that it's robust. I feel confident that when I see a number on a balance sheet, I can quickly see all the transactions behind it. Additionally, Xero's modern and cloud-based structure makes it easy to correct mistakes and understand numbers, which is a huge advantage over our previous software. The initial setup was incredibly easy, which was a pleasant surprise.","I guess group companies could be an area for improvement. At the moment if you manage say have businesses within a group, it would be great to be able to link group companies, helping record the transfer of cash and live managing of balances. Xero seems to work very well with a single entity business unit. But, there's obviously no way to link group or consolidation transactions.",,"I use Xero to understand our business's financial position, manage books, and produce monthly accounts. It helps ensure costs and revenue are captured well and provides quick access to detailed transactional information. Effortless Accounting with",5.0,,,,,David A.,User,small-business,Media Production,United Kingdom,,2026-04-28T15:45:00.812-05:00,,,,,1.0,"{""submitted"": ""2024-11-20T10:17:48.525-06:00"", ""type"": ""thank_you_page"", ""region"": ""Europe"", ""updated"": ""2026-04-28T09:02:46.974-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/10540720"", ""title"": ""Quick Insights"", ""primary"": ""EMEA"", ""switched_from"": {""products"": [{""id"": ""144886"", ""name"": ""Citrix Workspace"", ""slug"": ""citrix-workspace-2024-10-30""}], ""reason"": ""We needed a much faster and simpler finance system for the business""}}","{""submitted"": ""2024-11-20T10:17:48.525-06:00"", ""type"": ""thank_you_page"", ""region"": ""Europe"", ""updated"": ""2026-04-28T09:02:46.974-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/10540720"", ""title"": ""Quick Insights"", ""primary"": ""EMEA"", ""switched_from"": {""products"": [{""id"": ""144886"", ""name"": ""Citrix Workspace"", ""slug"": ""citrix-workspace-2024-10-30""}], ""reason"": ""We needed a much faster and simpler finance system for the business""}}"
12662788,XRO-ACC-001,Xero,g2,jupri,2026-05-10T09:56:02.599928+00:00,"Xero makes accounting tasks easy, whether I’m setting up a new client, managing the day-to-day work, or integrating with other tools. It’s stable and reliable, and it offers a lot of additional features for a reasonable monthly price. I also love how streamlined the interface is: there are no pop-ups, ads, or other distractions, so I can stay focused on getting work done. Support from Xero is quick, and they go the extra mile to help resolve any issues that come up. I’m also really looking forward to the expansion with Claude for business insights.
The different buckets for invoices - draft, submitted and approved - are such a useful tool for managing a client's invoices so that future revenue is has visibility and nothing gets forgotten.
The two tracking categories also provide great dimensional reporting.","I'd love to see better project based reporting, but there are a lot of other apps that integrate so well with Xero, that it hasn't been a big limiting factor. I would also love it if we could choose to not see archived accounts when creating new reports, as this creates a bit of extra work in combing through them. More dimensional reporting with additional tracking categories would also be helpful. Lastly, and I think my biggest ask, is the ability to reconcile ALL balance sheet accounts - this is one thing that QBO has that I'd love to see in Xero.",,"The new auto reconcile feature is a huge improvement right now. It is causing me to look at the types of employees that we as an accounting firm want to hire, since data entry isn't really a big lift any longer. This makes us want to hire more experienced bookkeepers, and not have to pay them to do a lot of basic data entry work. This allows us to focus more on a client's reporting and analysis work, rather than just getting the monthly reports out the door. That helps our clients make better business decisions even faster. Xero Makes Accounting Effortless with a Clean Interface and Reliable",5.0,,,,,Laura P.,Consultant,small-business,Accounting,United States,,2026-04-21T14:05:02.553-05:00,,,,,1.0,"{""submitted"": ""2026-04-21T10:45:53.582-05:00"", ""type"": ""vendor_self"", ""region"": ""North America"", ""updated"": ""2026-04-21T10:45:53.853-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12662788"", ""title"": ""Integrations"", ""primary"": ""Americas"", ""switched_from"": {""products"": [{""id"": ""395"", ""name"": ""QuickBooks Desktop Pro"", ""slug"": ""quickbooks-desktop-pro""}], ""reason"": ""I switched because we needed to move all of our clients to the cloud (back in 2013), as I was moving to a new state. This allowed me to bring all my clients with me and keep my business alive.""}}","{""submitted"": ""2026-04-21T10:45:53.582-05:00"", ""type"": ""vendor_self"", ""region"": ""North America"", ""updated"": ""2026-04-21T10:45:53.853-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12662788"", ""title"": ""Integrations"", ""primary"": ""Americas"", ""switched_from"": {""products"": [{""id"": ""395"", ""name"": ""QuickBooks Desktop Pro"", ""slug"": ""quickbooks-desktop-pro""}], ""reason"": ""I switched because we needed to move all of our clients to the cloud (back in 2013), as I was moving to a new state. This allowed me to bring all my clients with me and keep my business alive.""}}"
12772753,XRO-ACC-001,Xero,g2,jupri,2026-05-10T09:56:02.599928+00:00,"What I like most about Xero is that it's not Intuit. QBO is junk. Xero has its quirks, but overall it's very easy to get stuff done once you take the time to understand how Xero does things versus QBO. I especially like the sability of the bank feeds and the ease of reconciliation.","I don't really love their integration with Melio, athough it seems to be getting better. I also think their interfaces are a bit dated.",,The primary problem is that my data now exists in the cloud and as a result I can quickly jump in each day and reconcile transactions on the fly. This is a huge time saver. Additionally there are just a lot fewer bookkeeping steps when using Xero versus QBD. Evenutually I hope to hook this all into an AI workflow to really save time. Stable Bank Feeds and Easy Reconciliation Make,5.0,,,,,Brent K.,Administrator,small-business,Computer Software,United States,,2026-05-07T12:05:02.635-05:00,,,,,1.0,"{""submitted"": ""2026-05-07T09:25:21.215-05:00"", ""type"": ""vendor_self"", ""region"": ""North America"", ""updated"": ""2026-05-07T09:25:21.431-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12772753"", ""title"": ""Xero a Winner"", ""primary"": ""Americas"", ""switched_from"": {""products"": [{""id"": ""395"", ""name"": ""QuickBooks Desktop Pro"", ""slug"": ""quickbooks-desktop-pro""}], ""reason"": ""Intuit is garbage.""}}","{""submitted"": ""2026-05-07T09:25:21.215-05:00"", ""type"": ""vendor_self"", ""region"": ""North America"", ""updated"": ""2026-05-07T09:25:21.431-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12772753"", ""title"": ""Xero a Winner"", ""primary"": ""Americas"", ""switched_from"": {""products"": [{""id"": ""395"", ""name"": ""QuickBooks Desktop Pro"", ""slug"": ""quickbooks-desktop-pro""}], ""reason"": ""Intuit is garbage.""}}"
12611246,XRO-ACC-001,Xero,g2,jupri,2026-05-10T09:56:02.599928+00:00,"The thing that I like most about Xero is its smooth processing of real-time financial visibility in regular business activities. When working with real-life situations, such as managing several clients or dealing with expenditures within projects, it becomes significantly easier to have a comprehensive and up-to-date understanding of cash flow, invoicing, and reconciliation processes. For instance, when analyzing financial statements at the end of each month, the system provides convenient access to the necessary information without requiring manual data aggregation. Moreover, it boasts an easy-to-use interface that even non-financial employees can operate using basic functions such as invoicing or spending documentation.","The first limitation I have observed while using Xero is that it has certain limitations regarding advanced reporting and customization options. For instance, while trying to create a report or view finances from different perspectives, one finds limited possibilities in doing so within Xero, hence having to resort to exporting the information and then manually manipulating it using other software programs.

Another drawback I have experienced when working with Xero is that when reconciling transactions or dealing with several of them at once, the procedure may turn out to be rather manual and, therefore, tedious. In addition, while many third-party applications integrate well with Xero, resulting in discrepancies in information that will require manual adjustments.

Finally, it should be noted that while Xero provides excellent accounting services, its pricing increases when using additional functions or involving more users, making the solution costly for large companies.",,"One of the major benefits of Xero is its efficient approach to eliminating fragmentation and reducing manual labor in the management of finances, especially in environments that have traditionally operated using spreadsheet-based or fragmented software systems. The use of different applications for managing invoices, expense management, bank account reconciliations, and other financial-related tasks in practical settings is prone to causing unnecessary delays, discrepancies, and a greater probability of errors. This is where Xero comes in by integrating all these processes into one cohesive solution and streamlining most of them.

For instance, during day-to-day activities, users no longer need to spend time and effort reconciling accounts manually or tracking expenditures. Instead, the system can automatically pull in bank feed information and suggest reconciliations to help reduce manual labor. In situations involving the management of client billing, the preparation and sending of invoices are made faster and more efficient through the integration of payments and payment statuses.

In cases where financial information must be tracked in real-time such as for cash flow analysis or managing outstanding bills users are spared from having to compile data from various sources and then analyzing them. Great Real-Time Visibility and Ease of Use, but Reporting and Reconciliation",3.5,,,,,Arkajit D.,Administrator,mid-market,Information Technology and Services,India,,2026-04-20T10:09:03.067-05:00,,,,,1.0,"{""submitted"": ""2026-04-10T01:43:24.651-05:00"", ""type"": ""g2_nonincentivized"", ""region"": ""Asia"", ""updated"": ""2026-04-20T04:00:07.477-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12611246"", ""title"": ""Feel Limited"", ""primary"": ""Asia Pacific""}","{""submitted"": ""2026-04-10T01:43:24.651-05:00"", ""type"": ""g2_nonincentivized"", ""region"": ""Asia"", ""updated"": ""2026-04-20T04:00:07.477-05:00"", ""url"": ""https://www.g2.com/products/xero/reviews/12611246"", ""title"": ""Feel Limited"", ""primary"": ""Asia Pacific""}"
